Gene,Centrality
LYPD3,0.631578947368421
TEX101,0.5789473684210527
PHLDB3,0.47368421052631576
SPACA4,0.47368421052631576
PATE3,0.47368421052631576
LY6L,0.47368421052631576
SLURP1,0.42105263157894735
PATE1,0.42105263157894735
PATE2,0.42105263157894735
PINLYP,0.42105263157894735
LY6G6D,0.2631578947368421
ZNF575,0.21052631578947367
CRHBP,0.10526315789473684
ETHE1,0.10526315789473684
LYSMD1,0.10526315789473684
SCNM1,0.10526315789473684
AGR3,0.05263157894736842
UCN2,0.05263157894736842
MDM2,0.05263157894736842
RAB30,0.05263157894736842
